Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
3100,0.039509,0.038424,0.084938,0.083448,0.030244,0.013167,0.000060,0.000135,0.001406,0.000348,0.018043,0.001014,0.039381,0.083393,0.091261,0.094428,0.031894,0.016395,0.000099,0.000251,0.001510,0.000579,0.000688,0.001256,0.039663,0.048345,0.048522,0.051675,0.020187,0.003621,0.000063,0.000250,0.001368,0.000225,0.001024,0.001354,0.050704,0.105765,0.113412,0.113987,0.046360,0.033406,0.000100,0.000251,0.001254,0.000218,0.038884,0.001163,
3200,0.042013,0.041077,0.087891,0.085324,0.031324,0.013762,0.000063,0.000143,0.001456,0.000367,0.019189,0.001079,0.041813,0.088356,0.103244,0.095420,0.033891,0.017593,0.000100,0.000265,0.001570,0.000591,0.000784,0.001340,0.041422,0.054451,0.054432,0.056427,0.022128,0.004311,0.000066,0.000265,0.001414,0.000239,0.001384,0.001358,0.052324,0.115699,0.120980,0.138322,0.049492,0.035795,0.000104,0.000269,0.001297,0.000225,0.040875,0.001240,
3300,0.045043,0.043542,0.092759,0.094457,0.033280,0.014994,0.000098,0.000144,0.001470,0.000478,0.020002,0.001069,0.044655,0.093679,0.104311,0.103571,0.035993,0.018661,0.000097,0.000270,0.001593,0.000710,0.000667,0.001352,0.046226,0.055754,0.057244,0.059642,0.023252,0.004355,0.000067,0.000267,0.001436,0.000243,0.001485,0.001371,0.055941,0.119752,0.128131,0.129006,0.052126,0.038096,0.000106,0.000266,0.001300,0.000227,0.042675,0.001279,
3400,0.047165,0.047031,0.099613,0.096442,0.034516,0.015676,0.000067,0.000191,0.001504,0.000374,0.021124,0.001242,0.047680,0.100368,0.110645,0.112150,0.038144,0.020153,0.000107,0.000275,0.001635,0.000611,0.000705,0.001427,0.049227,0.060483,0.061232,0.063916,0.024400,0.004771,0.000070,0.000274,0.001476,0.000262,0.001007,0.001459,0.059984,0.128771,0.134964,0.137836,0.055197,0.039367,0.000113,0.000275,0.001350,0.000234,0.045485,0.001314,
3500,0.050216,0.049294,0.105128,0.104787,0.036682,0.016804,0.000068,0.000156,0.001594,0.000406,0.023026,0.001181,0.049722,0.106368,0.117567,0.116241,0.041576,0.021300,0.000104,0.000291,0.001723,0.000655,0.000830,0.001476,0.049351,0.064649,0.066296,0.067933,0.027119,0.005495,0.000072,0.000289,0.001558,0.000264,0.001075,0.001494,0.063026,0.138813,0.145205,0.143478,0.059275,0.041766,0.000115,0.000288,0.001472,0.000248,0.047695,0.001348,
3600,0.053491,0.051192,0.111673,0.110557,0.039013,0.017259,0.000071,0.000160,0.001628,0.000417,0.024279,0.001187,0.053435,0.110731,0.123818,0.123434,0.043220,0.022417,0.000103,0.000301,0.001747,0.000673,0.000799,0.001493,0.053093,0.068525,0.067593,0.070614,0.027992,0.005688,0.000074,0.000297,0.001580,0.000275,0.001010,0.001590,0.067345,0.143499,0.155433,0.151832,0.062694,0.044166,0.000116,0.000296,0.001445,0.000251,0.051665,0.001438,
3700,0.056526,0.053819,0.117236,0.118792,0.043159,0.019072,0.000072,0.000164,0.001708,0.000428,0.027314,0.001248,0.056654,0.114311,0.128427,0.128718,0.045421,0.023044,0.000108,0.000307,0.002348,0.000688,0.000862,0.001566,0.056176,0.070884,0.070612,0.073569,0.031788,0.005118,0.000076,0.000305,0.001935,0.000345,0.001887,0.001590,0.070952,0.153218,0.161329,0.161629,0.074751,0.047220,0.000121,0.000305,0.001674,0.000327,0.053904,0.001436,
3800,0.059295,0.058022,0.126307,0.127174,0.043932,0.022838,0.000074,0.000168,0.001762,0.000447,0.027254,0.001313,0.059997,0.149983,0.145743,0.137522,0.058271,0.025164,0.000115,0.000313,0.001891,0.000709,0.000831,0.001633,0.060651,0.076380,0.079196,0.079571,0.031312,0.005904,0.000079,0.000317,0.001712,0.000281,0.001533,0.001659,0.086225,0.165679,0.173362,0.170775,0.070865,0.049169,0.000125,0.000313,0.001624,0.000267,0.056489,0.001566,
3900,0.062266,0.062753,0.136594,0.132000,0.046160,0.023293,0.000075,0.000173,0.001750,0.000445,0.028551,0.001376,0.076028,0.130440,0.145296,0.146113,0.050711,0.030767,0.000109,0.000321,0.001947,0.000730,0.000901,0.001625,0.070905,0.079660,0.081043,0.083573,0.032642,0.007298,0.000079,0.000325,0.001742,0.000303,0.002123,0.001647,0.078677,0.169632,0.182484,0.186129,0.074386,0.052091,0.000125,0.000321,0.001578,0.000274,0.060316,0.001490,
4000,0.066253,0.064164,0.138222,0.135426,0.048709,0.022510,0.000078,0.000177,0.001881,0.000474,0.030002,0.001371,0.066658,0.134996,0.149118,0.153755,0.052850,0.030846,0.000115,0.000331,0.002085,0.000765,0.000878,0.001847,0.065938,0.085787,0.086450,0.090672,0.034832,0.006997,0.000083,0.000336,0.001804,0.000321,0.001433,0.001760,0.083991,0.179886,0.187191,0.190283,0.080484,0.055524,0.000132,0.000336,0.001672,0.000292,0.062340,0.001574,
4100,0.069829,0.067506,0.147441,0.146571,0.051098,0.023442,0.000081,0.000184,0.001896,0.000472,0.031500,0.001405,0.071752,0.149465,0.162106,0.164157,0.056652,0.029283,0.000116,0.000338,0.002010,0.000779,0.000909,0.001766,0.068946,0.086831,0.091482,0.090909,0.035647,0.006506,0.000086,0.000338,0.001801,0.000314,0.001610,0.001829,0.091181,0.200715,0.203614,0.216251,0.081245,0.057420,0.000135,0.000338,0.001650,0.000290,0.066820,0.001614,
